class,deeplab_iou,segformer_iou,soft_vote_iou,hard_vote_iou
Background,0.9852,0.9886,0.9892,0.9903
BUS LANE,0.6565,0.8303,0.8224,0.7556
Yellow Markings,0.449,0.874,0.7755,0.4901
Line 1,0.3503,0.4658,0.4804,0.442
Line 2,0.1716,0.3174,0.3213,0.2389
Crossing,0.6478,0.6985,0.716,0.7203
Romb,0.6556,0.7284,0.733,0.7358
SLOW,0.3979,0.7933,0.776,0.7093
Left Arrow,0.3379,0.6572,0.5918,0.5124
Forward Arrow,0.5653,0.7601,0.7567,0.6727
Fwd Arrow-Left,0.3015,0.7511,0.6062,0.6918
Fwd Arrow-Right,0.4079,0.7978,0.749,0.7045
Right Arrow,0.489,0.6967,0.6874,0.66
Bicycle,0.7316,0.7809,0.7771,0.7711
mIoU (excl. BG),0.474,0.704,0.6764,0.6234
